Corrections,Loss (dB),Fibre Length (km),Power (mW),Acquisition Time (s),Coincidence Window (ps),Brightness (cps),Heralding,Quantum Bit Error Rate,QX,Secure Key Rate (bps),Tstamp,exit_flag,angle,H1550,V1550,D1550,A1550,H780,V780,D780,A780,H1550H780,H1550V780,H1550D780,H1550A780,V1550H780,V1550V780,V1550D780,V1550A780,D1550H780,D1550V780,D1550D780,D1550A780,A1550H780,A1550V780,A1550D780,A1550A780
None,36.05,0.0,1.0,84.12286336301702,50,135.20700015782342,0.00155647861936584,0.044211947350658115,0.021657953696788648,39.75544546677381,1728916158.5687847,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,2061,75,577,1093,56,771,745,634,980,675,1306,30,650,379,28,1314
None,36.05,0.0,1.0,84.12286336301702,60,159.9565143418034,0.00184139056639588,0.04264453348597596,0.02307206068268015,46.975491742138495,1728916161.0297976,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,2438,83,690,1289,66,907,878,756,1160,809,1549,40,772,444,33,1542
None,36.05,0.0,1.0,84.12286336301702,70,184.94377602034612,0.002129039419737448,0.04122438903974327,0.023211359912616056,54.8369053655704,1728916163.454537,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,2807,94,799,1486,73,1077,1012,878,1332,932,1788,49,889,517,36,1789
None,36.05,0.0,1.0,84.12286336301702,80,208.90872347226912,0.002404919575939447,0.04278192189556823,0.023963575365444523,60.78661797962315,1728916165.8722508,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,3133,106,893,1691,89,1230,1138,971,1480,1051,2036,58,1030,589,42,2037
None,36.05,0.0,1.0,84.12286336301702,90,232.9806572967453,0.002682031339981633,0.04250691973111902,0.023424190800681432,68.27175922778866,1728916168.2947724,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,3457,116,999,1875,99,1386,1272,1070,1654,1166,2294,64,1148,661,46,2292
None,36.05,0.0,1.0,84.12286336301702,100,255.16249853944785,0.0029373846988471736,0.04316546762589928,0.023178807947019868,74.56400366427351,1728916170.7214441,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,3762,132,1115,2049,108,1558,1397,1166,1806,1256,2502,71,1256,726,48,2513
None,36.05,0.0,1.0,84.12286336301702,110,277.40377665579103,0.003193422284290596,0.04398340248962656,0.022844904515438157,80.80830005094916,1728916173.1451838,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,4054,145,1223,2239,120,1706,1523,1259,1937,1349,2744,75,1387,791,53,2731
None,36.05,0.0,1.0,84.12286336301702,120,298.0878086827484,0.0034315331333935116,0.04369981470043237,0.023013245033112584,86.88573992076377,1728916175.5675936,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,4311,153,1310,2406,130,1882,1638,1344,2048,1455,2966,82,1494,865,57,2935
None,36.05,0.0,1.0,84.12286336301702,130,317.6187653610765,0.0036563699868855173,0.0439369851134557,0.023107940446650124,92.3297635627122,1728916177.9958205,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,4583,161,1407,2535,143,2032,1749,1433,2156,1555,3186,87,1589,928,62,3113
None,36.05,0.0,1.0,84.12286336301702,140,336.29383105897875,0.003871353977656023,0.04506849315068493,0.02337472607742878,96.6747801767644,1728916180.4111557,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,4797,177,1513,2669,152,2174,1853,1533,2265,1638,3391,95,1676,998,65,3294
None,36.05,0.0,1.0,84.12286336301702,150,354.1011184017271,0.004076348260389453,0.04478583517771124,0.02386568613847648,101.54782528036027,1728916182.8323638,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5011,189,1596,2804,155,2326,1961,1611,2364,1728,3569,103,1773,1063,69,3466
None,36.05,0.0,1.0,84.12286336301702,160,370.67211877274923,0.004267110630302938,0.04455260202171472,0.023200318175792125,107.15380915301381,1728916185.2367618,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5187,196,1687,2917,161,2469,2056,1686,2457,1814,3738,104,1874,1135,71,3630
None,36.05,0.0,1.0,84.12286336301702,170,386.4942145358988,0.004449251745335111,0.04489405004190111,0.023670145075082718,110.94766349571961,1728916187.645624,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5352,207,1758,3014,168,2626,2154,1764,2540,1907,3903,107,1961,1204,79,3769
None,36.05,0.0,1.0,84.12286336301702,180,401.76949106155405,0.00462509797585077,0.04516129032258064,0.02403728231542801,114.70111399805602,1728916190.0746865,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5501,217,1833,3121,175,2787,2248,1824,2619,1988,4047,110,2042,1289,86,3911
None,36.05,0.0,1.0,84.12286336301702,190,415.0595760076106,0.004778091038665172,0.045835662381218556,0.024369947693770804,117.51258601190105,1728916192.4958632,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5619,229,1911,3216,181,2916,2326,1884,2692,2067,4187,114,2108,1355,91,4020
None,36.05,0.0,1.0,84.12286336301702,200,427.75529221726026,0.0049242418357007545,0.045874551581693665,0.023828709566018187,121.68871927270304,1728916194.9122713,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5732,237,1975,3295,185,3045,2420,1930,2737,2142,4351,116,2165,1434,91,4129
None,36.05,0.0,1.0,84.12286336301702,210,439.4762436992027,0.005059171316859073,0.04553155442609064,0.02363880797669729,125.57730607067698,1728916197.3315036,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5834,244,2027,3380,186,3180,2487,1983,2776,2207,4474,118,2233,1507,93,4241
None,36.05,0.0,1.0,84.12286336301702,220,450.8405739393011,0.0051899954385501,0.0456753125968792,0.023861407714098934,128.4133883021754,1728916199.770856,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,5933,251,2078,3457,191,3302,2567,2019,2827,2268,4613,120,2295,1560,99,4346
None,36.05,0.0,1.0,84.12286336301702,230,461.4678869462551,0.005312335150675391,0.046232876712328765,0.023996602251008706,130.71054186775146,1728916202.21026,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6030,265,2134,3512,194,3439,2627,2055,2861,2321,4736,124,2337,1627,102,4456
None,36.05,0.0,1.0,84.12286336301702,240,471.29874584642386,0.005425506226657065,0.04649096831507255,0.023957685127566894,133.27884626858818,1728916204.6571922,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6098,271,2176,3559,200,3562,2699,2086,2889,2365,4873,128,2394,1706,103,4538
None,36.05,0.0,1.0,84.12286336301702,250,480.36881276399197,0.005529919202441848,0.04661551908322813,0.024032586558044806,135.61728267934643,1728916207.078749,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6149,277,2243,3594,203,3668,2756,2117,2935,2416,4975,132,2448,1784,104,4609
None,36.05,0.0,1.0,84.12286336301702,260,488.7850740715125,0.0056268056858699315,0.04709141274238227,0.0241024102410241,137.39668597835526,1728916209.4806688,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6207,285,2296,3633,208,3769,2824,2144,2956,2465,5073,135,2486,1846,106,4685
None,36.05,0.0,1.0,84.12286336301702,270,496.83282676246085,0.005719449964515146,0.04747607431037718,0.02412842229663187,139.21038821426694,1728916211.8750896,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6255,293,2339,3668,213,3897,2883,2165,2981,2514,5169,137,2525,1908,108,4740
None,36.05,0.0,1.0,84.12286336301702,280,503.54919348385795,0.005796767567815806,0.04804221049708415,0.02391600233326852,140.7627055173859,1728916214.2708316,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6293,303,2383,3701,216,3991,2937,2184,2997,2554,5256,137,2556,1959,109,4784
None,36.05,0.0,1.0,84.12286336301702,290,509.93271371286716,0.0058702535022803265,0.04860222912479444,0.024193548387096774,141.5551667589828,1728916216.6663742,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6321,312,2406,3738,220,4093,2979,2205,3012,2594,5328,138,2590,2011,114,4836
None,36.05,0.0,1.0,84.12286336301702,300,516.2686844429638,0.005943192055482541,0.04838273718353005,0.024311490978157643,143.39503713777097,1728916219.0604203,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6359,315,2442,3760,222,4203,3024,2224,3035,2645,5402,139,2613,2058,117,4872
None,36.05,0.0,1.0,84.12286336301702,310,522.1767096828477,0.006011204177324006,0.048285077951002224,0.024511645379413975,144.86758481754234,1728916221.4400609,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6392,316,2469,3778,226,4291,3089,2247,3047,2678,5475,143,2635,2111,118,4912
None,36.05,0.0,1.0,84.12286336301702,320,527.5616904346934,0.00607319510528011,0.04807184363444268,0.02458329453394171,146.50323863334742,1728916223.8295705,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6417,319,2491,3796,227,4395,3133,2267,3058,2703,5528,144,2662,2173,120,4947
None,36.05,0.0,1.0,84.12286336301702,330,532.3641898248605,0.006128480612772971,0.04807188972256151,0.024730091353695673,147.62950916931567,1728916226.2680166,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6431,322,2522,3812,229,4480,3168,2280,3067,2724,5585,146,2681,2231,122,4984
None,36.05,0.0,1.0,84.12286336301702,340,536.667419476446,0.006178018617011624,0.048220933252532246,0.024816849816849815,148.52729444749386,1728916228.7376976,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6453,325,2545,3828,232,4541,3210,2293,3072,2744,5639,146,2710,2273,125,5010
None,36.05,0.0,1.0,84.12286336301702,350,540.8517753807499,0.006226188168094512,0.048150373358509996,0.024829467939972715,149.74940532820992,1728916231.155023,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6469,327,2563,3843,234,4621,3250,2303,3082,2769,5692,146,2734,2308,127,5030
None,36.05,0.0,1.0,84.12286336301702,360,544.6319605442974,0.006269704978447804,0.04793529161345253,0.025024844159363988,150.76696674113805,1728916233.583954,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6487,328,2590,3854,235,4695,3271,2310,3083,2791,5736,146,2760,2343,131,5056
None,36.05,0.0,1.0,84.12286336301702,370,548.3883709583885,0.006312948098169942,0.04799729592699003,0.025069637883008356,151.6686568508573,1728916235.998265,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6502,333,2606,3865,235,4764,3307,2323,3090,2814,5772,147,2778,2386,132,5078
None,36.05,0.0,1.0,84.12286336301702,380,551.7287232569947,0.006351401631846907,0.04804628542679859,0.025033527045149755,152.5868885918953,1728916238.3986425,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6528,336,2623,3870,237,4825,3339,2330,3100,2827,5810,148,2796,2417,132,5095
None,36.05,0.0,1.0,84.12286336301702,390,554.9620891830479,0.006388623557683684,0.04782137798883612,0.025084504536559332,153.67549678481257,1728916240.7952886,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6538,337,2636,3876,237,4891,3373,2337,3105,2849,5844,150,2813,2451,132,5116
None,36.05,0.0,1.0,84.12286336301702,400,557.6129737474223,0.006419140063057219,0.04815183159290568,0.025066430469441982,154.03905185375774,1728916243.199645,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6556,340,2650,3882,241,4929,3391,2343,3113,2866,5875,150,2825,2482,133,5132
None,36.05,0.0,1.0,84.12286336301702,410,560.3232951854374,0.006450340795008636,0.04827415767361397,0.025322039880007058,154.26261903703923,1728916245.6102748,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6567,343,2658,3887,243,4986,3416,2348,3120,2890,5898,152,2834,2510,135,5149
None,36.05,0.0,1.0,84.12286336301702,420,562.6175585079677,0.006476751940914879,0.04870848708487085,0.025320907332512747,154.3712350833806,1728916248.0363562,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6576,349,2666,3889,245,5025,3443,2357,3127,2894,5926,152,2850,2534,136,5160
None,36.05,0.0,1.0,84.12286336301702,430,564.8999344557699,0.006503026241505545,0.048672927725602284,0.025308696032927576,155.05870976080388,1728916250.4636319,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6582,350,2677,3894,246,5067,3468,2359,3134,2904,5956,153,2863,2558,136,5174
None,36.05,0.0,1.0,84.12286336301702,440,567.0753240310189,0.006528068934256025,0.04873294346978557,0.025314245810055865,155.57457716240472,1728916252.9019601,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6596,352,2681,3899,248,5116,3482,2364,3139,2917,5978,153,2871,2583,137,5188
None,36.05,0.0,1.0,84.12286336301702,450,569.0486282358895,0.006550785256641705,0.048705501618122975,0.025594149908592323,155.73061383180448,1728916255.3312235,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6605,354,2691,3905,248,5153,3505,2367,3143,2929,5993,155,2880,2603,139,5200
None,36.05,0.0,1.0,84.12286336301702,460,570.9862703165758,0.006573091043080656,0.0489003464110207,0.025877040639110803,155.59913991086637,1728916257.8419847,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6617,356,2700,3909,251,5189,3517,2369,3146,2945,6006,157,2885,2633,141,5212
None,36.05,0.0,1.0,84.12286336301702,470,572.6386154037867,0.006592112541945774,0.04889210019267823,0.025903144763059865,156.02041246779848,1728916260.2705276,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6624,357,2707,3910,252,5223,3529,2372,3151,2951,6023,157,2892,2661,142,5221
None,36.05,0.0,1.0,84.12286336301702,480,574.3503973646383,0.006611818267388774,0.04901255297033661,0.02591792656587473,156.3165388517072,1728916262.7716465,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6636,359,2713,3915,254,5258,3543,2376,3155,2960,6042,157,2897,2675,143,5233
None,36.05,0.0,1.0,84.12286336301702,490,575.6104590858208,0.0066263238708398715,0.048903071400079774,0.026120689655172415,156.48935303467013,1728916265.1902373,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6643,359,2716,3922,254,5279,3558,2379,3160,2967,6056,157,2899,2686,146,5241
None,36.05,0.0,1.0,84.12286336301702,500,577.0488314279253,0.006642882154024614,0.0490422065018679,0.026250107582408123,156.51380834090466,1728916267.62004,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6650,362,2725,3926,255,5314,3564,2383,3165,2978,6066,158,2901,2701,147,5248
None,36.05,0.0,1.0,84.12286336301702,510,578.2613436501952,0.006656840376213406,0.04909191847093346,0.026471852170176193,156.44738055319542,1728916270.0460718,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6657,364,2730,3932,255,5333,3574,2388,3169,2983,6073,161,2902,2723,147,5254
None,36.05,0.0,1.0,84.12286336301702,520,579.2598831273586,0.006668335382721822,0.049066160177271285,0.02668840641894791,156.42362364376038,1728916272.4578698,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6662,365,2733,3936,255,5354,3583,2389,3173,2991,6083,164,2906,2729,147,5259
None,36.05,0.0,1.0,84.12286336301702,530,580.5199448485412,0.006682840986172919,0.04915963071096031,0.026980728051391862,156.20834064196308,1728916274.882677,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6669,368,2737,3938,255,5381,3590,2390,3178,2999,6094,166,2914,2741,149,5266
None,36.05,0.0,1.0,84.12286336301702,540,581.5065969509765,0.00669419914736576,0.049256432449445275,0.026959945224238273,156.38484956195387,1728916277.2796886,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6681,369,2740,3939,257,5402,3597,2390,3181,3004,6101,166,2922,2752,149,5268
None,36.05,0.0,1.0,84.12286336301702,550,582.3506005566742,0.006703915164771684,0.04947384953667347,0.027008547008547008,156.2684821690188,1728916279.700274,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6688,372,2746,3940,258,5416,3604,2391,3182,3006,6108,167,2925,2761,149,5276
None,36.05,0.0,1.0,84.12286336301702,560,583.3729147832938,0.0067156838619112525,0.04965927782564424,0.02723469649107829,155.97164726483666,1728916282.1229246,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6695,375,2750,3941,259,5438,3616,2391,3183,3008,6114,170,2933,2773,149,5280
None,36.05,0.0,1.0,84.12286336301702,570,584.169368890079,0.006724852498054871,0.04990222917481424,0.027455661664392905,155.5501221776901,1728916284.5429928,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6701,377,2751,3945,261,5446,3625,2393,3186,3012,6121,171,2940,2777,151,5285
None,36.05,0.0,1.0,84.12286336301702,580,585.0133724957767,0.0067345685154607945,0.049949270272379616,0.02751512053837635,155.62689585472233,1728916286.9660513,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6707,379,2752,3946,261,5466,3630,2395,3188,3017,6126,171,2944,2789,152,5290
None,36.05,0.0,1.0,84.12286336301702,590,585.6552907310961,0.006741958162501919,0.0501364522417154,0.027491701421397566,155.600170799744,1728916289.3957367,None,0,30487147,28377113,30087500,24631133,94972,175552,87174,112442,6709,380,2752,3948,263,5473,3637,2396,3194,3021,6128,171,2949,2796,152,5298
